,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,60
11,2017,12,278
12,2018,1,288
13,2018,2,269
14,2018,3,343
15,2018,4,371
16,2018,5,294
17,2018,6,270
18,2018,7,359
19,2018,8,292
20,2018,9,258
21,2018,10,216
22,2018,11,197
23,2018,12,301
24,2019,1,227
25,2019,2,292
26,2019,3,373
27,2019,4,268
28,2019,5,297
29,2019,6,298
30,2019,7,269
31,2019,8,261
32,2019,9,298
33,2019,10,197
34,2019,11,243
35,2019,12,292
36,2020,1,270
37,2020,2,244
38,2020,3,254
39,2020,4,134
40,2020,5,158
41,2020,6,145
42,2020,7,147
43,2020,8,182
44,2020,9,140
45,2020,10,113
46,2020,11,139
47,2020,12,131
48,2021,1,171
49,2021,2,140
50,2021,3,172
51,2021,4,159
52,2021,5,216
53,2021,6,167
54,2021,7,174
55,2021,8,188
56,2021,9,139
57,2021,10,203
58,2021,11,145
59,2021,12,133
60,2022,1,239
61,2022,2,245
62,2022,3,294
63,2022,4,247
64,2022,5,298
65,2022,6,238
66,2022,7,280
67,2022,8,243
68,2022,9,215
69,2022,10,256
70,2022,11,113
71,2022,12,0
